1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
1,1,1,1,1,1,171,151,188,49,249,11,4,102,26,1,3,30,134,1,15,838,192,197,22,15,1246,661,164,2358,65,65,12644,423,251,321,429,1835,2019,43,48,16,59,89,15,255,308,13,33,5,50,6,42,23,1,1,32.1,1,16,1,64,3,53,4,0,85,6,14,1.09E+04,0,92.2,0,5,0,4,254,81.8,18.2,1.59,39,0,2,2,2,5,0,2,3,10,3,0,2,2,1,0,1,3,1,0,1,1,3,1,0,1,1,1,1,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,yes
0,0,1,1,1,1,40,32,54,20,61,0,1,25,4,1,0,9,0,1,35,755,284,276,38,0,1043,879,243,2102,0,0,11011,309,201,626,332,1767,1783,46,68,46,40,0,11,304,373,15,47,5,77,23,56,0,1,1,20.1,1,5,1,62,2,35,0,0,34,2,0,7.76E+03,0,96.1,0,3,0,10,92,82.5,17.5,1.57,175,3,4,2,2,1,0,6,3,1,3,0,0,2,1,0,3,2,1,2,4,1,0,3,0,1,0,1,0,1,0,58,2,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,no
1,1,1,1,1,1,43,28,31,12,51,2,3,63,9,1,1,3,25,1,23,370,162,155,29,5,526,382,136,1053,16,16,4732,167,122,208,175,1133,686,45,22,19,25,26,7,102,134,5,29,5,38,7,31,0,1,1,30.4,1,2,1,31,0,39,2,0,10,3,0,4.62E+03,0,91.2,0,4,1,5,114,82.5,17.5,1.51,34,1,2,1,1,10,0,2,3,7,2,0,1,4,0,1,3,2,3,0,3,1,3,0,0,0,2,5,0,0,0,21,1,0,1,2,0,0,1,0,1,0,0,1,0,0,1,0,1,0,yes
1,1,1,1,1,1,18,4,3,12,19,2,4,17,9,1,1,0,4,1,33,464,206,188,31,2,718,345,111,1418,2,2,6714,201,159,172,210,790,758,45,20,26,28,14,13,117,140,13,44,5,60,7,30,0,1,1,31,1,4,1,42,2,2,1,0,4,1,0,301,0,99.5,0,4,0,5,8,84.5,15.5,1.41,13,1,1,1,1,1,0,3,1,1,1,0,1,2,1,2,3,1,2,3,0,2,5,0,0,1,0,0,1,1,1,0,3,0,2,0,0,0,0,1,1,3,0,0,0,0,1,0,0,2,yes
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,348,88,100,30,0,571,314,162,1192,0,0,6157,166,123,186,207,818,552,44,54,17,41,0,6,148,215,12,11,5,15,25,10,0,1,1,31.8,1,7,1,10,0,57,0,0,62,0,0,420,0,92.2,0,3,0,1,92,85.1,14.9,1.46,55,1,1,0,1,13,0,0,1,51,1,0,0,0,0,16,1,0,4,0,0,0,0,1,0,1,2,0,1,2,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,no
1,1,1,1,1,1,127,156,172,79,308,15,6,317,23,1,1,39,134,1,23,1305,354,347,26,18,2033,991,739,3747,95,95,18082,522,454,398,657,2919,2447,46,128,34,73,83,29,552,719,26,63,5,101,98,87,0,1,1,28.4,1,18,1,121,5,60,12,0,42,11,0,1.38E+04,0,94.6,0,4,2,8,269,79.7,20.3,1.61,359,3,4,3,4,32,2,1,5,5,2,0,2,3,5,34,3,4,4,3,2,1,37,2,0,1,0,0,1,2,0,84,3,0,1,0,3,0,1,1,0,1,0,0,0,1,0,0,0,1,yes
1,1,1,1,1,1,75,32,38,15,54,3,3,13,8,1,1,4,20,1,33,757,296,277,35,3,1237,563,407,2267,0,0,8764,371,260,253,432,1264,2146,48,66,42,49,16,18,247,334,19,57,5,85,49,62,0,1,1,29.7,1,6,1,67,1,60,0,0,10,0,0,6.70E+03,0,95,0,5,0,7,126,81.3,18.7,1.49,95,1,6,2,1,12,0,3,3,31,3,0,1,3,6,8,7,4,0,2,1,0,17,1,0,1,0,0,1,2,1,41,1,0,1,4,2,1,1,1,1,1,0,0,0,2,0,3,0,2,yes
1,1,1,1,1,1,52,12,17,7,23,0,2,19,9,1,1,4,50,1,20,840,181,170,27,0,1179,710,506,2465,12,12,13106,363,331,338,398,1875,1709,35,132,19,56,41,16,329,482,23,23,5,45,26,38,0,1,1,29.3,1,8,1,54,1,58,0,0,7,0,0,7.92E+03,0,94.5,0,7,0,7,156,82.4,17.6,1.52,242,4,4,1,1,16,0,2,2,20,0,0,0,2,2,5,4,1,6,1,0,1,172,0,0,1,0,1,1,3,1,0,2,1,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,516,94,84,27,0,829,419,368,1741,0,0,7743,212,156,263,258,956,1243,44,45,14,36,0,4,212,283,19,12,5,27,35,12,0,1,1,30.8,1,9,1,15,0,11,0,0,23,0,0,1.75E+03,0,97.5,0,4,0,3,55,85.2,14.8,1.44,230,2,0,0,1,26,0,1,0,0,1,0,1,1,2,11,0,1,0,0,0,1,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,no
