0,1,39.288368702
1,543,30253.2960057
3,702,48040.2982156
3,702,48040.2982156
5,2004,192792.316403
5,2004,192792.316403
6,2540,246754.323899
7,2748,265007.326788
8,4229,393355.347388
9,5259,478381.361827
10,5628,508561.366964
