1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
44,327,254,741,242,26,46,3081,613,153,112,21,508,147,97,66,3,108,1.45,161,1,39,1,15,21.5,78.5,27,1,1,1,1,31.4,5,2,94.1,2.16E+03,21,2,14,0,0,201,3,209,46,9,37,1,49,1,1,1,0,1,48,3,1,0,1,13,2,0,2,0,0,0,2,1,0,0,0,1,1,0,3,2,1,2,3,0,2,4,0,22,1,2,9,9,7,8,0,0,17,35,1,0,0,1,2,0,2,1,0,3,0,1,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,yes
44,1134,653,2220,596,29,165,8449,1613,348,397,46,1297,417,363,208,4,335,1.48,378,16,70,1,30,17.5,82.5,30,1,1,1,1,28.9,5,105,94,6.25E+03,50,11,34,0,25,211,12,221,52,4,28,1,40,1,1,1,3,0,50,2,1,12,1,0,1,4,3,0,3,2,2,1,13,0,1,1,2,0,4,0,0,1,2,2,0,19,0,68,13,3,18,40,24,24,0,1,6,63,1,0,3,3,4,0,0,1,2,5,0,2,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,1,no
51,1160,753,2475,629,24,58,12112,1641,319,386,60,1543,378,356,283,5,317,1.53,219,6,56,1,28,14.8,85.2,15,1,1,1,1,29.3,5,49,98.1,1.95E+03,14,9,16,0,11,157,17,164,32,6,26,1,29,1,1,1,2,1,47,0,0,2,1,24,3,1,0,0,2,3,0,1,41,0,1,0,0,0,2,1,1,0,1,0,2,7,1,28,0,2,9,8,5,5,0,3,2,14,1,0,1,1,5,2,0,1,1,6,2,0,0,0,2,1,0,1,0,0,3,1,0,0,1,0,2,1,0,yes
49,619,388,1179,328,28,79,6288,1142,193,228,18,805,162,212,131,5,139,1.4,171,8,17,1,11,16.1,83.9,46,1,1,1,1,31.1,5,55,94.3,4.72E+03,29,9,33,0,7,255,9,248,64,5,50,1,48,1,1,1,1,0,50,4,1,5,0,0,7,3,2,0,0,2,1,2,30,0,1,1,1,0,2,1,1,2,1,2,3,3,0,29,13,5,0,5,26,28,0,1,3,64,1,3,4,1,0,1,1,1,1,4,13,3,1,0,0,1,0,1,1,2,1,1,0,0,0,0,0,2,0,no
42,760,530,1438,461,30,87,6815,1427,288,256,37,948,239,239,157,4,197,1.46,199,6,39,1,16,17,83,31,1,1,1,1,30.8,5,102,95.1,4.34E+03,26,10,19,0,10,167,10,169,43,6,21,1,28,1,1,1,0,1,38,2,0,2,0,21,0,0,2,0,1,2,1,2,54,0,1,0,2,0,3,2,0,0,1,0,1,0,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,yes
50,1134,877,2024,660,35,159,11105,1353,340,336,50,1629,216,317,257,4,166,1.49,226,17,50,1,18,17.5,82.5,49,1,1,1,1,32.3,5,133,94.1,1.09E+04,39,10,50,0,16,421,20,430,106,13,66,1,84,1,1,1,5,1,137,4,1,0,1,54,4,1,3,0,1,1,5,5,1,0,8,5,2,0,0,1,4,6,2,1,2,7,5,15,3,7,1,10,7,14,0,4,1,0,0,1,2,1,0,1,3,1,2,0,0,2,2,3,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,yes
36,697,412,1599,408,36,102,4923,1110,224,237,45,1104,286,217,154,6,205,1.37,263,11,56,1,16,17,83,30,1,1,1,1,28.7,5,103,94.9,985,22,6,24,0,21,186,10,175,53,4,28,1,30,1,1,1,2,1,38,3,1,16,1,17,0,2,3,0,4,1,0,6,44,0,0,1,2,0,3,0,1,3,0,1,3,13,4,43,2,1,4,17,16,21,0,2,5,129,0,1,0,0,8,0,1,1,0,14,8,0,0,0,2,1,0,0,1,0,9,0,0,0,0,0,0,2,0,yes
46,773,575,1465,441,37,122,11156,1620,237,267,37,1052,237,248,179,4,174,1.42,269,4,58,1,18,16.4,83.6,57,1,1,1,1,30.6,5,92,93.3,9.08E+03,38,3,34,0,20,366,11,367,90,8,55,1,75,1,1,1,3,0,108,3,2,5,1,0,3,1,4,0,3,2,1,5,12,0,2,4,0,0,4,1,2,4,5,2,7,9,3,23,0,6,0,14,14,25,0,1,11,38,1,0,3,0,0,2,1,1,0,4,0,2,3,0,0,1,0,0,0,2,0,2,1,0,1,0,0,0,1,no
50,471,262,900,335,32,78,2308,1011,197,147,23,579,122,139,112,3,108,1.45,141,12,12,1,8,18.6,81.4,28,1,1,1,1,32.8,5,11,93.1,1.65E+03,24,1,30,0,9,124,7,124,36,1,14,1,12,1,1,1,2,1,8,1,2,2,1,20,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,7,1,29,4,2,5,16,13,18,0,0,1,17,0,0,0,0,4,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no
50,1315,764,2602,681,37,3,10998,2163,343,427,82,1383,390,384,289,6,355,1.56,506,12,34,1,39,16.4,83.6,32,1,1,1,1,28.2,5,92,99.9,62,0,11,24,0,0,238,24,223,63,5,46,1,46,1,1,1,5,1,53,4,1,0,1,0,1,2,5,0,3,1,2,4,16,0,1,2,2,0,2,4,1,2,4,1,2,9,2,26,0,5,8,91,2,2,0,1,7,5,2,2,2,1,6,2,0,1,0,6,1,0,1,1,1,1,0,0,0,0,1,3,0,0,0,1,1,1,0,no
61,1230,771,2312,727,28,213,9659,1914,435,464,65,1575,415,384,276,4,318,1.43,477,13,93,1,78,16.6,83.4,36,1,1,1,1,28.7,5,79,91.7,7.30E+03,109,12,26,0,100,233,20,214,69,5,44,1,50,1,1,1,1,1,49,2,0,4,0,24,1,2,2,0,5,0,1,1,3,0,5,3,1,0,0,4,1,3,1,1,1,0,2,0,73,2,0,0,0,0,0,2,0,0,0,2,1,3,0,6,0,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,yes
68,1558,866,2740,619,24,129,12803,1233,297,444,55,1733,391,315,306,6,257,1.49,640,12,81,1,76,16.1,83.9,28,1,1,1,1,27.3,5,289,96.9,8.23E+03,10,9,26,0,50,233,15,227,60,10,38,1,63,1,1,1,4,1,54,2,0,29,0,19,1,25,1,0,2,4,1,2,199,0,3,1,1,0,2,4,0,0,4,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,145,5,2,0,0,1,0,1,1,0,10,0,0,7,0,0,0,21,0,yes
37,1283,755,2694,773,34,35,10227,2081,433,405,57,1773,367,367,320,5,296,1.67,454,16,67,1,37,14.9,85.1,26,1,1,1,1,28.6,5,118,98.6,2.90E+03,22,6,26,0,24,203,23,195,51,6,30,1,43,1,1,1,3,1,44,7,0,4,1,6,5,1,5,0,1,3,0,2,18,0,2,0,0,0,1,3,3,1,5,0,6,14,2,42,11,2,6,51,6,6,5,0,2,111,0,1,2,1,8,0,1,1,1,1,15,0,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,no
53,1328,865,2637,856,34,142,9059,1665,500,442,73,2359,328,411,318,5,257,1.47,411,25,59,1,25,18.6,81.4,61,1,1,1,1,29.9,5,171,95.1,4.47E+03,64,13,46,0,60,327,24,329,78,7,66,1,60,1,1,1,9,1,60,2,0,11,1,29,3,4,5,0,1,6,0,4,111,0,2,0,3,0,3,1,1,0,1,3,1,0,3,0,35,4,0,0,0,0,0,1,0,0,3,2,1,3,0,1,0,1,1,0,29,0,0,2,0,1,3,1,0,1,1,0,0,0,1,0,2,2,2,yes
41,1359,828,2829,652,30,186,13297,1952,362,453,54,1497,512,381,269,6,387,1.78,532,16,66,1,43,15.5,84.5,31,1,1,1,1,29,5,255,94.3,8.62E+03,66,12,28,0,18,222,19,218,66,4,42,1,36,1,1,1,1,0,55,2,1,31,0,0,1,21,4,0,2,0,1,1,144,0,0,3,1,0,0,0,1,1,3,0,1,0,0,0,35,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,1,0,51,3,1,0,0,1,0,0,1,3,25,0,0,2,0,0,1,6,1,no
46,1001,490,1997,420,30,45,5314,1438,253,327,58,1332,357,246,157,6,266,1.46,325,11,52,1,47,17.6,82.4,19,1,1,1,1,25.5,5,244,97.8,1.29E+03,23,9,24,0,21,138,9,129,37,4,18,1,20,1,1,1,2,1,27,0,0,28,0,8,2,27,0,0,3,0,2,4,99,0,2,1,2,0,2,0,0,0,2,0,2,0,0,0,21,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,13,0,1,1,0,0,0,0,0,0,11,0,1,0,0,0,0,7,0,yes
43,185,94,340,143,31,35,985,180,87,69,9,415,56,65,37,2,38,1.32,36,1,18,1,4,18.4,81.6,13,1,1,1,1,23.8,5,0,92.1,285,10,3,16,0,15,74,5,82,14,1,6,1,7,1,1,1,2,1,1,0,0,0,0,4,3,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,11,0,15,0,0,0,20,4,13,0,0,2,17,0,0,1,0,0,2,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,no
49,1045,698,2202,622,33,66,8446,1647,263,341,48,1333,302,316,273,5,268,1.62,176,16,29,1,23,18.1,81.9,31,1,1,1,1,28.6,5,74,97.5,2.65E+03,17,17,22,0,3,278,16,284,66,3,60,1,63,1,1,1,0,1,69,2,3,4,1,2,6,2,3,5,3,4,2,2,17,3,3,0,1,6,2,2,1,1,0,1,3,59,1,174,2,1,27,147,50,55,6,0,23,109,1,2,3,1,20,0,0,1,2,3,4,1,1,1,3,1,0,0,1,1,0,5,0,0,0,0,0,0,1,yes
44,1546,1013,3189,880,32,271,11335,2170,482,537,77,2065,608,442,349,6,489,1.53,448,17,93,1,76,18.3,81.7,55,1,1,1,1,29.3,5,238,92,8.22E+03,138,9,45,0,102,351,28,327,89,4,57,1,72,1,1,1,2,1,90,5,1,25,1,41,2,19,6,0,3,8,3,3,43,0,4,6,2,0,5,8,1,1,4,3,4,9,5,42,94,6,3,10,30,34,0,2,5,79,1,1,3,6,0,2,0,1,3,9,11,0,1,1,0,1,0,1,1,2,1,0,0,0,2,0,0,0,0,no
43,1048,672,2088,617,33,70,8124,2029,358,367,48,1265,314,336,259,5,265,1.61,342,16,37,1,25,17.2,82.8,38,1,1,1,1,29.8,5,127,96.8,1.40E+03,35,1,33,0,12,304,17,287,74,5,61,0,66,0,0,0,4,0,73,6,0,12,0,0,0,6,4,0,0,5,4,3,13,0,4,3,2,0,3,0,2,3,3,0,3,0,2,0,2,9,0,0,0,0,0,4,0,0,2,1,2,2,0,1,2,1,0,0,4,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,yes
56,1062,627,2438,503,24,118,10052,1763,330,365,51,1311,543,326,173,5,424,1.54,418,10,96,1,32,14.3,85.7,25,1,1,1,1,30.6,5,40,95.8,1.82E+03,35,7,27,0,18,280,20,275,57,5,36,0,64,0,0,0,2,0,104,3,0,11,0,0,6,2,3,0,1,4,6,4,37,0,4,4,3,0,4,1,2,1,3,1,4,0,2,0,1,3,0,0,0,0,0,2,0,0,1,3,2,5,0,1,0,0,2,0,1,4,0,0,0,0,2,1,0,1,12,0,0,0,0,0,1,5,1,yes
38,1572,988,3471,755,32,217,11572,2898,351,578,89,1940,678,526,347,6,540,1.69,629,14,123,1,46,17.3,82.7,19,1,1,1,1,25,5,181,93.8,8.07E+03,119,17,28,0,27,213,15,219,49,4,26,1,45,1,1,1,2,1,63,3,0,15,1,91,0,5,5,0,4,4,3,3,21,0,3,0,1,0,1,0,1,2,1,0,2,32,0,123,84,4,8,117,65,73,2,1,2,8,0,1,0,4,10,1,0,1,2,0,14,0,0,0,6,1,0,1,0,0,0,2,0,0,0,0,0,1,0,yes
