0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,0,1,3,4,2,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,7,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,66.7,33.3,0,0,0,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
1,1,1,1,1,1,1,16,1,46,1,1,1,1,29,16612,1143,275,270,25,358,2177,45,1880,827,67,1,5,24,1856,453,608,464,3758,735,51,186,31,109,28.4,434,52,0,0,0,0,0,19,0,68,0,0,0,0,0,85,69,0,0,0,433,314,0,3.09E+03,713,2,282,0,16.5,83.5,0,8,0,48,1.47,91.8,30,0,0,4,5,4,32,2,2,4,5,2,4,0,0,3,2,0,0,2,23,0,226,1,54,1,2,2,1,1,1,1,1,0,0,1,0,2,1,1,1,2,2,0,no
1,1,1,1,1,1,1,7,1,19,1,1,1,1,32,9094,625,304,325,38,281,1416,42,924,538,85,1,5,11,1799,226,264,254,1863,197,56,45,16,9,32.7,157,70,61,0,8,36,4,6,15,87,23,19,4,0,3,44,10,2,0,0,230,102,0,6.23E+03,280,4,66,0,16.1,83.9,0,7,3,40,1.49,94.3,0,19,19,7,3,1,2,7,5,3,8,4,2,0,1,1,1,4,0,4,1,0,69,1,5,6,0,4,1,1,5,0,1,2,0,0,3,5,1,1,0,0,0,1,yes
1,1,1,1,1,0,1,0,1,1,0,0,0,0,2,4,1,2,2,0,2,4,0,4,4,1,0,0,0,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,0,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,0,1,1,0,2,3,0,0,0,0,1,2,1,1,2,0,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,1,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
1,1,1,1,1,1,1,16,1,33,1,1,1,1,35,14052,995,465,479,33,419,1972,51,1498,883,111,1,5,26,1898,429,448,421,3078,618,86,74,27,23,28.2,211,120,97,6,4,53,14,16,13,154,34,33,8,0,2,69,44,2,2,0,340,152,0,1.04E+04,432,14,67,0,15.3,84.7,0,6,0,46,1.5,94.7,3,33,33,8,5,7,0,4,1,4,5,4,4,1,2,7,4,5,0,6,4,0,77,1,15,8,2,1,2,2,2,2,2,3,2,1,6,5,4,1,1,1,2,1,no
0,0,1,1,1,1,0,0,1,0,1,1,1,1,37,20924,1590,263,282,40,476,3381,39,2240,1239,83,1,5,54,4081,725,774,705,5017,496,46,114,34,43,32,257,50,0,0,0,0,0,28,0,70,0,0,0,0,0,124,136,0,0,0,767,285,0,1.51E+04,909,6,18,0,16.7,83.3,0,8,0,54,1.48,94.9,7,0,0,6,2,3,69,3,2,4,1,3,2,0,2,1,3,6,0,1,11,0,161,1,20,0,2,2,0,1,0,4,0,2,0,1,2,2,1,1,0,0,4,1,no
1,1,1,1,1,1,1,9,1,18,1,1,1,1,35,3647,143,138,137,24,96,375,22,207,135,34,0,5,1,284,30,64,61,394,47,27,8,3,3,31.9,30,20,0,0,0,0,0,1,0,9,0,0,0,0,0,5,15,0,0,0,37,0,0,3.06E+03,45,5,0,0,14.1,85.9,0,2,0,43,1.4,93,0,0,0,1,0,0,2,2,0,3,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,3,0,1,0,0,1,1,3,0,0,0,0,1,1,0,0,1,0,yes
1,1,1,1,1,1,2,48,1,47,1,1,1,1,27,11421,762,181,188,25,360,1560,26,1238,659,49,1,5,24,1802,241,427,361,2402,700,42,171,17,65,29.4,236,30,54,3,28,152,38,15,79,38,71,63,11,16,4,57,39,4,3,0,330,64,0,8.30E+03,505,3,66,1,18,82,0,5,11,38,1.69,93,0,18,18,5,1,3,0,1,1,1,0,0,2,0,0,1,1,3,0,0,1,7,8,1,4,1,0,0,3,0,0,1,0,2,0,1,1,2,1,0,0,0,1,1,no
1,1,1,1,1,1,3,73,1,35,1,1,1,1,39,8850,722,399,421,58,396,1741,61,1102,739,116,1,5,13,2158,270,357,321,2098,180,73,20,13,19,28.3,65,82,201,24,16,88,35,7,92,108,52,33,9,3,0,59,42,4,5,0,208,140,2,1.57E+03,252,7,27,0,19.3,80.7,9,6,0,45,1.46,96.8,2,24,24,5,3,4,30,3,4,5,2,9,5,0,5,5,0,4,1,1,11,0,44,1,15,3,2,1,1,1,1,0,2,4,1,1,3,4,3,1,0,1,1,0,no
1,1,1,1,1,1,1,21,1,18,1,1,1,1,29,14400,872,275,275,34,391,2149,49,1353,704,63,0,5,20,2715,292,466,428,2515,419,53,62,17,27,29.8,135,60,70,0,3,36,15,8,56,50,24,18,6,0,1,64,37,0,1,0,330,292,0,1.13E+04,399,8,55,0,15.4,84.6,0,5,0,44,1.54,95.7,0,0,0,4,7,4,2,1,0,2,2,2,0,0,0,1,1,4,0,3,8,0,14,1,7,2,3,0,2,3,1,5,0,1,1,0,2,5,0,1,1,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,15,4,5,6,2,9,8,0,5,9,2,0,1,0,1,0,1,1,4,0,0,0,0,0,22.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,50,50,0,1,0,3,1,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
1,1,1,1,1,1,1,15,1,41,1,1,1,1,32,13774,875,424,442,39,369,1557,56,1648,672,116,1,5,21,2218,288,552,433,3074,644,86,116,17,78,31.7,175,96,85,6,5,62,12,10,43,133,45,41,4,0,1,77,69,3,1,0,358,288,0,2.32E+03,514,11,42,0,15.4,84.6,0,6,1,43,1.59,95.1,9,41,41,6,7,7,34,3,4,4,3,4,6,1,5,2,2,2,0,5,37,0,74,1,28,3,2,3,2,2,3,3,1,3,2,2,2,7,1,1,0,3,3,0,no
1,1,1,1,1,1,1,52,1,56,1,1,1,1,36,12118,809,151,145,26,321,1824,18,1287,672,29,1,5,18,3543,283,453,428,2491,541,14,40,14,17,32.7,106,27,174,8,21,160,41,14,149,24,118,74,3,0,1,61,57,5,0,0,325,271,0,9.35E+03,372,7,11,7,16.4,83.6,12,6,4,32,1.67,95.9,0,41,41,2,2,3,24,1,2,2,2,2,1,0,4,2,0,1,0,0,8,7,47,1,7,0,0,1,0,0,1,0,1,3,0,1,1,0,0,1,0,1,3,1,yes
1,1,1,1,1,1,2,58,1,18,1,1,1,1,28,3880,348,274,269,22,189,698,37,490,366,73,1,5,5,2809,115,174,172,945,122,48,8,7,2,29.8,101,65,91,7,13,97,46,2,63,69,59,37,12,8,4,27,42,1,4,0,112,9,0,3.06E+03,120,3,10,0,20.2,79.8,0,4,0,39,1.49,90.9,0,12,12,4,2,1,11,5,2,7,5,5,2,0,1,1,1,6,0,2,0,0,3,1,0,2,1,1,0,0,1,3,0,1,1,2,0,2,0,1,0,1,0,1,no
1,1,1,1,1,0,1,0,1,1,0,0,1,1,2,0,1,3,2,0,4,6,0,2,4,0,1,0,0,2,0,1,1,2,0,0,0,0,0,75,0,0,0,0,0,1,0,0,0,0,1,1,3,0,1,0,0,0,3,0,0,0,0,5,0,0,0,0,100,0,0,1,0,1,1.25,100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
1,1,1,1,1,1,1,17,1,31,1,1,1,1,32,17782,1050,295,314,43,378,2116,59,1596,745,89,0,5,27,3331,350,593,542,3415,477,59,140,21,44,29.7,200,53,44,0,7,72,14,12,31,68,32,31,2,0,0,72,114,17,0,0,623,88,0,1.26E+04,769,8,57,0,16.2,83.8,0,5,3,45,1.59,94.1,1,0,0,6,1,4,58,4,4,1,2,2,1,0,4,0,5,4,0,1,6,0,36,1,5,1,1,2,1,2,1,1,2,2,2,0,1,1,0,0,0,1,1,0,yes
1,1,1,1,1,1,1,32,1,18,1,1,1,1,31,15005,1178,165,162,26,445,2019,29,1852,908,41,1,5,32,2226,398,620,510,3628,842,32,146,29,80,27.6,245,18,107,17,11,89,29,11,81,26,51,43,8,0,1,91,69,5,1,0,467,410,0,1.11E+04,669,6,60,0,17.3,82.7,0,6,1,45,1.52,94.6,1,0,0,1,0,2,1,1,1,2,1,1,3,0,1,2,2,1,0,1,25,0,56,0,55,1,1,0,0,1,0,0,1,2,0,1,2,0,0,0,0,1,3,1,no
0,0,1,1,1,1,0,0,1,0,1,1,1,1,33,12318,708,257,265,41,318,1349,57,1047,593,72,1,5,10,2021,267,348,310,2115,271,44,48,21,26,27.8,137,36,0,0,0,0,0,6,0,54,0,0,0,0,0,44,37,0,0,0,294,99,0,2.54E+03,367,9,36,0,15.2,84.8,0,5,0,42,1.36,94.8,4,0,0,5,2,3,7,6,4,2,3,3,0,0,1,2,2,1,0,0,10,0,67,1,21,3,1,2,1,0,4,0,0,3,1,0,2,2,1,1,0,1,0,1,no
